Cell.type	Gene	Cell.state
B cells	NEIL2	S04
B cells	NR2C2	S04
B cells	NT5E	S04
B cells	PEX1	S04
B cells	PYROXD1	S04
B cells	TMEM134	S04
B cells	TMEM65	S04
B cells	TNFRSF10A	S04
B cells	TUBD1	S04
B cells	ZNF44	S04
B cells	ZNF675	S04
B cells	ZSCAN12	S04
B cells	ZSCAN22	S04
B cells	BATF	S05
B cells	BHLHE40	S05
B cells	CD53	S05
B cells	CLECL1	S05
B cells	HCST	S05
B cells	HLA-A	S05
B cells	HLA-B	S05
B cells	ID2	S05
B cells	LTB	S05
B cells	P2RY8	S05
B cells	RUNX3	S05
B cells	S100A4	S05
B cells	SASH3	S05
B cells	SH3BGRL3	S05
B cells	STAT1	S05
B cells	TRAF3IP3	S05
B cells	WDFY4	S05
CD4 T cells	BATF	S01
CD4 T cells	CREB3L2	S01
CD4 T cells	CTLA4	S01
CD4 T cells	CTSC	S01
CD4 T cells	CXCR6	S01
CD4 T cells	DUSP4	S01
CD4 T cells	GBP2	S01
CD4 T cells	GFI1	S01
CD4 T cells	IL2RB	S01
CD4 T cells	IL32	S01
CD4 T cells	PRDM1	S01
CD4 T cells	TNFRSF1B	S01
CD4 T cells	TNFRSF9	S01
CD4 T cells	ZBTB32	S01
CD4 T cells	CCDC109B	S02
CD4 T cells	CCR7	S02
CD4 T cells	CD40LG	S02
CD4 T cells	GPR171	S02
CD4 T cells	IKZF1	S02
CD4 T cells	IL7R	S02
CD4 T cells	LY9	S02
CD4 T cells	NR4A2	S02
CD4 T cells	P2RY10	S02
CD4 T cells	RGL4	S02
CD4 T cells	SCML4	S02
CD4 T cells	TRAT1	S02
CD4 T cells	ZFP36L2	S02
CD4 T cells	ZNF331	S02
CD4 T cells	ZNF831	S02
CD4 T cells	BAAT	S03
CD4 T cells	CAPN1	S03
CD4 T cells	CLDND1	S03
CD4 T cells	CREB3L3	S03
CD4 T cells	GDPGP1	S03
CD4 T cells	GLYCTK	S03
CD4 T cells	ITGA1	S03
CD4 T cells	KDM8	S03
CD4 T cells	PIPOX	S03
CD4 T cells	SLC7A9	S03
CD4 T cells	SMAD5	S03
CD4 T cells	SOAT2	S03
CD4 T cells	TMCO1	S03
CD4 T cells	ZNF181	S03
CD4 T cells	ZNF485	S03
CD4 T cells	ZNF580	S03
CD4 T cells	ZWILCH	S03
CD4 T cells	ADRB2	S04
CD4 T cells	C16orf54	S04
CD4 T cells	FBXO45	S04
CD4 T cells	FGL2	S04
CD4 T cells	GIMAP1	S04
CD4 T cells	IRF1	S04
CD4 T cells	KLF2	S04
CD4 T cells	LRRTM2	S04
CD4 T cells	MGAT5	S04
CD4 T cells	MSRA	S04
CD4 T cells	RELL1	S04
CD4 T cells	RHOJ	S04
CD4 T cells	RNF125	S04
CD4 T cells	ZNF202	S04
CD4 T cells	ZNF461	S04
CD4 T cells	ZNF493	S04
CD4 T cells	ARHGEF9	S05
CD4 T cells	B3GAT2	S05
CD4 T cells	C3	S05
CD4 T cells	CNTN2	S05
CD4 T cells	E2F2	S05
CD4 T cells	ENPP6	S05
CD4 T cells	FAM151A	S05
CD4 T cells	GATA2	S05
CD4 T cells	GLIS3	S05
CD4 T cells	LRRC49	S05
CD4 T cells	LRRC55	S05
CD4 T cells	MAEL	S05
CD4 T cells	MXRA5	S05
CD4 T cells	NPPC	S05
CD4 T cells	OLFML3	S05
CD4 T cells	OR3A3	S05
CD4 T cells	PXT1	S05
CD4 T cells	SMPDL3A	S05
CD4 T cells	ZNF608	S05
CD4 T cells	AFF4	S06
CD4 T cells	ANKIB1	S06
CD4 T cells	BFAR	S06
CD4 T cells	C2CD5	S06
CD4 T cells	DDX52	S06
CD4 T cells	ETNK1	S06
CD4 T cells	FAM208B	S06
CD4 T cells	GATAD1	S06
CD4 T cells	LMTK2	S06
CD4 T cells	NAF1	S06
CD4 T cells	PEX1	S06
CD4 T cells	PPM1D	S06
CD4 T cells	RBM48	S06
CD4 T cells	RPS6KB1	S06
CD4 T cells	SLC39A1	S06
CD4 T cells	VANGL1	S06
CD4 T cells	ZNF217	S06
CD4 T cells	ZNF425	S06
CD4 T cells	ZNF441	S06
CD4 T cells	ANKRD36C	S07
CD4 T cells	CACNG8	S07
CD4 T cells	CCDC65	S07
CD4 T cells	CIZ1	S07
CD4 T cells	DSC2	S07
CD4 T cells	LRRC69	S07
CD4 T cells	MYLK3	S07
CD4 T cells	OPRM1	S07
CD4 T cells	PLGLB1	S07
CD4 T cells	SLC22A9	S07
CD4 T cells	TMC2	S07
CD4 T cells	ZBTB3	S07
CD4 T cells	ZNF445	S07
CD4 T cells	ZNF713	S07
CD4 T cells	ZNF821	S07
CD8 T cells	BTLA	S01
CD8 T cells	FCRL3	S01
CD8 T cells	GPR174	S01
CD8 T cells	GZMK	S01
CD8 T cells	LY9	S01
CD8 T cells	NCOR1	S01
CD8 T cells	NCR3	S01
CD8 T cells	SH2D1A	S01
CD8 T cells	SLAMF1	S01
CD8 T cells	SPIB	S01
CD8 T cells	STAT4	S01
CD8 T cells	TRAT1	S01
CD8 T cells	ZNF394	S01
CD8 T cells	ZNF831	S01
CD8 T cells	ASCL2	S02
CD8 T cells	C1QA	S02
CD8 T cells	C1QB	S02
CD8 T cells	C1QC	S02
CD8 T cells	FCER1G	S02
CD8 T cells	FCGR3A	S02
CD8 T cells	FGFBP2	S02
CD8 T cells	IL2RA	S02
CD8 T cells	IRF8	S02
CD8 T cells	KLRF1	S02
CD8 T cells	LAIR1	S02
CD8 T cells	LITAF	S02
CD8 T cells	S1PR5	S02
CD8 T cells	TFDP2	S02
CD8 T cells	TYROBP	S02
CD8 T cells	ZNF595	S02
CD8 T cells	ACTB	S03
CD8 T cells	APOBEC3G	S03
CD8 T cells	BATF	S03
CD8 T cells	CD274	S03
CD8 T cells	CD38	S03
CD8 T cells	CXCL10	S03
CD8 T cells	GBP5	S03
CD8 T cells	GZMB	S03
CD8 T cells	GZMH	S03
CD8 T cells	HOXB2	S03
CD8 T cells	IFNG	S03
CD8 T cells	LAG3	S03
CD8 T cells	LY6E	S03
CD8 T cells	PLSCR1	S03
CD8 T cells	SUB1	S03
CD8 T cells	ZBTB1	S03
Dendritic cells	CADM1	S01
Dendritic cells	CLEC9A	S01
Dendritic cells	DBN1	S01
Dendritic cells	GYPC	S01
Dendritic cells	IKZF3	S01
Dendritic cells	IRF8	S01
Dendritic cells	MAP4K1	S01
Dendritic cells	REPIN1	S01
Dendritic cells	SIT1	S01
Dendritic cells	SP140	S01
Dendritic cells	SPIB	S01
Dendritic cells	WDFY4	S01
Dendritic cells	XCR1	S01
Dendritic cells	CEBPB	S02
Dendritic cells	CLEC12A	S02
Dendritic cells	CLEC4E	S02
Dendritic cells	DPEP2	S02
Dendritic cells	FCN1	S02
Dendritic cells	FLI1	S02
Dendritic cells	ITGAM	S02
Dendritic cells	MRC1	S02
Dendritic cells	OLR1	S02
Dendritic cells	S100A9	S02
Dendritic cells	TFDP1	S02
Dendritic cells	TGIF1	S02
Dendritic cells	TNFRSF1B	S02
Dendritic cells	VCAN	S02
Dendritic cells	ZEB2	S02
Dendritic cells	CCL5	S03
Dendritic cells	CD274	S03
Dendritic cells	CD80	S03
Dendritic cells	CXCL10	S03
Dendritic cells	FOXP3	S03
Dendritic cells	FSCN1	S03
Dendritic cells	IDO1	S03
Dendritic cells	IKZF1	S03
Dendritic cells	IL32	S03
Dendritic cells	KLRC1	S03
Dendritic cells	PDCD1LG2	S03
Dendritic cells	PRF1	S03
Dendritic cells	STAT5A	S03
Dendritic cells	ZKSCAN1	S03
Dendritic cells	ZNF552	S03
Dendritic cells	AGL	S04
Dendritic cells	AKAP6	S04
Dendritic cells	C19orf60	S04
Dendritic cells	FABP3	S04
Dendritic cells	LRP8	S04
Dendritic cells	MAP3K7CL	S04
Dendritic cells	MEF2C	S04
Dendritic cells	MEN1	S04
Dendritic cells	MUL1	S04
Dendritic cells	P2RX1	S04
Dendritic cells	PPP1R27	S04
Dendritic cells	RP11-545E17.3	S04
Dendritic cells	SLC25A4	S04
Dendritic cells	SREBF2	S04
Dendritic cells	TFAP4	S04
Dendritic cells	THAP8	S04
Dendritic cells	TNFRSF13C	S04
Dendritic cells	TYW1	S04
Dendritic cells	ZNF28	S04
Dendritic cells	AQP1	S05
Dendritic cells	CAV1	S05
Dendritic cells	CAV2	S05
Dendritic cells	CLDN5	S05
Dendritic cells	COL8A2	S05
Dendritic cells	DLC1	S05
Dendritic cells	DNMBP	S05
Dendritic cells	FABP4	S05
Dendritic cells	GNG11	S05
Dendritic cells	IGFBP4	S05
Dendritic cells	KLF2	S05
Dendritic cells	NFIB	S05
Dendritic cells	NOS3	S05
Dendritic cells	SRF	S05
Dendritic cells	TERF2	S05
Dendritic cells	TSPAN2	S05
Dendritic cells	ZNF649	S05
Dendritic cells	BBX	S06
Dendritic cells	CD1A	S06
Dendritic cells	CD1B	S06
Dendritic cells	CD1C	S06
Dendritic cells	CD1E	S06
Dendritic cells	CD207	S06
Dendritic cells	ENTPD1	S06
Dendritic cells	FCER1A	S06
Dendritic cells	GTF2IRD1	S06
Dendritic cells	HLA-DQA1	S06
Dendritic cells	IL22RA2	S06
Dendritic cells	MAFF	S06
Dendritic cells	S100B	S06
Dendritic cells	SPI1	S06
Dendritic cells	ZNF385A	S06
Dendritic cells	CSF3	S07
Dendritic cells	CXCL2	S07
